Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand
6,2010,72000,4,1,1,39.80885552,998,58.16,5,1.75,25
9,2015,41000,2,1,1,40.7169,1582,126.2,5,12.5,22
8,2011,46000,3,1,1,42.81136364,1199,88.7,5,4.5,21
8,2012,87000,2,1,1,42.9939,1248,88.76,7,6,25
1,2013,40670,2,0,2,31.464,1968,140.8,5,17.74,9
4,2012,75000,3,1,1,33.6356577,814,55.2,5,2.35,22
10,2013,86999,2,1,1,47.7756,1461,63.1,5,3.5,24
6,2016,36000,2,0,1,23.5152,2755,171.5,8,17.5,14
9,2013,64430,2,1,1,42.5178,1598,103.6,5,5.2,23
8,2012,65932,2,1,2,46.161,1248,74,5,1.95,26
3,2018,25692,3,1,1,50.715,1462,103.25,5,9.95,25
11,2012,60000,3,0,1,39.51818182,1497,116.3,5,4.49,21
10,2015,64424,2,1,1,52.164,1248,74,5,5.6,25
5,2014,72000,2,0,1,26.289,2179,187.7,5,27,3
9,2012,85000,2,0,2,25.6473,2179,115,5,17.5,6
5,2014,110000,2,1,1,27.945,2477,175.56,7,15,15
3,2016,58950,2,1,1,53.406,1498,98.6,5,5.4,21
10,2017,25000,2,1,1,58.788,1248,74,5,5.99,25
3,2014,77469,2,1,1,42.3315,1461,83.8,5,6.34,20
2,2014,78500,2,0,1,30.7188,2143,167.62,5,28,8
3,2014,32982,2,0,1,46.9683,1995,190,5,18.55,10
2,2015,55392,2,1,2,48.9555,1248,88.5,5,8.25,25
6,2015,55985,3,0,1,31.82625,1984,177.01,5,23.5,9
11,2010,45807,3,1,1,43.51704545,1197,80,5,1.87,22
11,2010,33000,3,0,1,33.87272727,1598,103.6,5,2.85,23
6,2012,51920,3,1,1,39.51818182,1497,116.3,5,4.25,21
4,2012,54000,2,1,1,47.7756,1461,63.1,5,4.25,24
4,2013,54000,3,1,2,49.20954545,998,67.1,5,2.75,25
3,2018,37430,3,1,1,41.16477273,1199,88.7,5,9.9,21
6,2007,262000,2,1,4,26.496,2494,102,7,4,14
2,2013,62000,2,1,1,39.3507,1461,108.45,5,7.75,20
5,2012,87615,3,1,1,34.17852273,1798,138.1,5,6.75,14
2,2013,72000,2,0,2,23.1426,2696,184,7,12.5,17
11,2010,35000,2,0,1,25.668,2698,179.5,5,11.5,9
1,2014,55431,3,1,2,37.84806818,1598,103.5,5,6.98,23
10,2009,83816,3,1,2,32.93181818,1061,64,5,1.85,25
3,2018,50075,2,1,1,50.301,1248,88.5,5,8.63,25
5,2017,52000,3,1,1,42.69375,1198,82,5,4.85,17
9,2013,85000,2,0,1,24.3018,2987,254.8,5,28,8
8,2013,62000,2,1,1,45.6849,1199,73.9,5,5,23
5,2008,90000,3,1,2,46.33977273,796,46.3,5,1.25,25
